Language,Phonemes
Kharia,"['b', 'b̤', 'd', 'd̠ʒ', 'd̠ʒ̤', 'd̤', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 's', 't', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'w', 'ŋ', 'ɖ', 'ɖ̤', 'ɡ', 'ɡ̤', 'ɦ', 'ɲ', 'ɽ', 'ɾ', 'ʈ', 'ʈʰ', 'a', 'ã', 'e', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɛ̃', 'bʱ', 'd̪', 'd̪ʱ', 'f', 'ts', 'tsʰ', 't̪', 't̪ʰ', 'ɗ', 'ɗʱ', 'ɟ', 'ɟʱ', 'ɡʱ', 'ɳ', 'ɸ', 'ɽʱ', 'ˀb', 'ˀɗ', 'ˀɟ', 'ao', 'oi', 'ou', 'ui', 'æ', 'cç', 'cçʰ', 'ɟʝ', 'ʔ', 'eː', 'iː', 'oː', 'õ̞', 'uː', 'ũː', 'æ̞̃', 'ɪ̃', 'ʊ̃', 'c', 'cʰ', 'h', 'l̪', 'n̪', 's̪', 'ɖʱ', 'ɾ̪', 'ɑ', 'ɔ', 'ɛ', 'ɪ', 'ʊ']"
Khasi,"['b', 'd', 'd̠ʒ', 'h', 'k', 'kʰ', 'm', 'n', 'p', 'pʰ', 'r', 's', 't', 'tʰ', 'ŋ', 'ɭ', 'ɲ', 'ʃ', 'ʔ', 'a', 'aː', 'e', 'i', 'o', 'u', 'ə', 'ɪ̯', 'ʊ̯', 'b̤', 'd̤', 'j', 'l', 'w', 'ç', 'ɟʝ', 'ɟ̤ʝ', 'ɡ', 'ɡʱ', 'ɾ', 'eː', 'iː', 'oː', 'uː', 'ɔ', 'ɛ', 'ɨ']"
Sedang,"['h', 'j', 'k', 'kʰ', 'l', 'l̥', 'm', 'mb', 'm̥', 'n', 'nd', 'n̠d̠ʒ', 'n̥', 'p', 'pʰ', 'r', 'r̥', 's', 't', 'tʰ', 't̠ʃ', 'w', 'ŋ', 'ŋɡ', 'ŋ̥', 'ɲ', 'ɲ̥', 'ʃ', 'ʍ', 'ʔ', 'ˀb', 'ˀd', 'ˀl', 'ˀm', 'ˀn', 'ˀr', 'ˀw', 'ˀŋ', 'ˀɲ', 'a', 'a̰', 'e', 'ḛ', 'i', 'ḭ', 'o', 'o̰', 'u', 'ṵ', 'ɔ', 'ɔ̰', 'ɛ', 'ɛ̰']"
Cambodian,"['h', 'j', 'k', 'kʰ', 'lˠ', 'm', 'n', 'p', 'pʰ', 's', 't', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'ŋ', 'ɓ', 'ɗ', 'ɲ', 'ɽ', 'ʋ', 'ʔ', 'a̟', 'a̟̙ː', 'ei̙', 'e̘ː', 'iː', 'ou̙', 'o̘ː', 'uː', 'ɒ', 'ɒː', 'ɔ', 'ɔ̘ː', 'ə', 'əɨ̙', 'ə̘ː', 'ɛ', 'ɛ̘ː', 'ɨː', 'ɪ', 'ɪ̈', 'ʊ']"
Vietnamese,"['c', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 's', 't', 'tʰ', 'v', 'w', 'x', 'z', 'ŋ', 'ɓ', 'ɗ', 'ɣ', 'ɲ', 'ʔ', '˦˥', '˦˥̰', '˧', '˨˩', '˨˩̤', '˩̰', 'a̟ː', 'e', 'o', 'ɐ', 'ɔ', 'ɛ', 'ɤ', 'ɪ', 'ɯ̞', 'ʊ', 'ʌ', 'ʌ̯', 'l̪', 'n̪', 'p', 'tɕ', 't̪', 't̪ʰ', '˥˩˩˥', '˦', '˦˨', '˦˩˨', '˧˥', '˧˩', '˨', '˩˧', 'a', 'aː', 'i', 'iə', 'u', 'uə', 'ɔː', 'ɛː', 'ɤː', 'ɯ', 'ɯə']"
Mandarin Chinese,"['cç', 'cçʰ', 'f', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 's', 't', 'ts', 'tsʰ', 'tʰ', 'w', 'w˞', 'ç', 'ŋ', 'ɥ', 'ɰ', 'ʂ', 'ʈʂ', 'ʈʂʰ', 'ʐ', 'χ', '˥', '˥˦', '˧˥', '˧˨˥', 'a', 'a˞', 'a̟˞', 'i', 'u', 'u˞', 'y', 'ɑ̃˞', 'ə˞', 'ə̃˞', 'ɤ', 'ɤ˞']"
Wu,"['b̤̥', 'd̤̥', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'm̩', 'n', 'p', 'pʰ', 's', 't', 'ts', 'tsʰ', 'tz̤̥', 'tʰ', 'v', 'w', 'z', 'z̞̩', 'ŋ', 'ŋ̩', 'ɡ̤̥', 'ɦ', 'ɻ', 'ʔ', '˥', '˥˧˥', '˦', 'a', 'i', 'ĩ', 'o̞', 'õ̞', 'u', 'y', 'æ̃', 'ə̟']"
Hakka,"['f', 'h', 'j', 'k̟', 'k̟ʰ', 'l', 'mb', 'm̩', 'nd', 'p', 'pʰ', 's', 't', 'ts', 'tsʰ', 'tʰ', 'w', 'z̞̩', 'ŋɡ̟', 'ŋ̩', 'ʔ', '˥', '˧', '˧˩', '˩', 'a', 'i', 'u', 'æ', 'ɔ', 'ɛ']"
Cantonese,"['f', 'h', 'j', 'k', 'kʰ', 'kʷ', 'kʷʰ', 'l', 'l̥', 'm', 'm̩', 'n', 'p', 'pʰ', 't', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'w', 'ŋ', 'ŋ̩', 'ʃ', '˥', '˥˦', '˧', '˧˩̰', '˩', 'a', 'i', 'u', 'æ', 'ɔ']"
Yao,"['b', 'c', 'cʰ', 'd', 'dz', 'f', 'h', 'j', 'j̥', 'k', 'kʰ', 'l', 'l̥', 'm', 'm̥', 'm̩', 'n', 'n̥', 'n̩', 'p', 'pʰ', 's', 't', 'ts', 'tsʰ', 'tʰ', 'w', 'ŋ', 'ŋ̥', 'ɟ', 'ɡ', 'ɲ', 'ɲ̥', 'ʍ', 'ʔ', '˥˦', '˦', '˧˨ˤ', '˧˩', '˨˧', '˩̰', 'a', 'aː', 'e', 'i', 'o', 'u', 'æ', 'ɔ']"
Dafla,"['b', 'd', 'j', 'k', 'l̪', 'm', 'n', 'p', 'r', 's', 't', 'x', 'ŋ', 'ɡ', 'ɦ', 'ʔ', '˥˦', '˩˨', 'i', 'i̥', 'u', 'u̥', 'ɑ', 'ɔ', 'ɛ', 'ɯ', 'ʌ']"
Burmese,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'kʰ', 'l', 'l̥', 'm', 'm̥', 'n', 'n̥', 'p', 'pʰ', 's', 'sʰ', 't', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'w', 'z', 'ð', 'ŋ', 'ŋ̥', 'ɡ', 'ɲ', 'ɲ̥', 'ɾ', 'ʃ', 'ʍ', 'ʔ', 'θ', '˥', '˥̰', '˩', 'a', 'e', 'eĩ', 'i', 'o', 'oũ', 'u', 'æ̃', 'ɔ', 'ə', 'ɛ', 'ɪ̃', 'ʊ̃', 'd̪ð̪', 'm̥m', 'n̥n', 't̪θ̪', 'ŋ̥ŋ', 'ɬl', 'ɲ̥ɲ', 'ʍw', '˦', '˦ˀ', '˦̰', '˨', 'aɪ', 'aɪ̃', 'aʊ', 'aʊ̃', 'ã', 'eɪ', 'eɪ̃', 'ĩ', 'oʊ', 'oʊ̃', 'ũ', 'ŋ̊', 'ɬ', 'ɲ̊', 'ɪ', 'ʊ']"
Lahu,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 'q', 'qʰ', 't', 'tʰ', 't̠ʃ', 't̠ʃʰ', 'v', 'w', 'ŋ', 'ɡ', 'ɣ', 'ʃ', 'ʔ', '˥˦', '˧', '˧˦', '˧˨', '˩', 'a', 'e', 'e̞', 'i', 'o', 'u', 'ɔ', 'ɘ', 'ɨ', 'x', 'ai̯', 'au̯', 'ii̯', 'ue', 'u̯a', 'u̯e', 'u̯i', 'u̯ɛ', 'ɔu̯', 'ə', 'əi̯', 'əu̯', 'ɛ', 'ɨi̯', 'ɨɛ']"
Garo,"['b', 'd', 'dz', 'h', 'kʰ', 'l', 'm', 'mˀ', 'n', 'nˀ', 'pʰ', 's̻', 'ts', 'tʰ', 'w', 'ŋ', 'ŋˀ', 'ɡ', 'ɾ', 'ɾˀ', 'ʔ', 'a', 'e̞', 'i', 'o', 'ʉ', 'd̪', 'k', 'n̪', 'p', 's', 't̪', 'z', 'e', 'u']"
Karen,"['c', 'cʰ', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 's', 'sʰ', 't', 'tʰ', 'w', 'x', 'z', 'ŋ', 'ɓ', 'ɗ', 'ɣ', 'ɦ', 'ɲ', 'ɹ', 'ʃ', 'ʔ', 'θ', '˦˥', '˧˨̤', '˧˩', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ', 'ɜ', 'ɪ̈']"
Lakkia,"['f', 'h', 'j', 'j̥', 'k', 'kʰ', 'kʲʰ', 'kʷ', 'kʷʰ', 'l', 'm', 'm̥', 'n', 'n̥', 'p', 'pʰ', 't', 'ts', 'tsʰ', 'tʰ', 'w', 'ŋ', 'ŋʲ', 'ŋʷ', 'ŋ̥ʲ', 'ɥ', 'ɬ', 'ʍ', 'ʔ', 'ˀb', 'θ', '˥', '˥˦', '˧˨˥', '˨˧', '˨˧˩', '˩', 'a', 'ã', 'ă', 'ẵ', 'ĕ', 'i', 'ie', 'iẽ', 'ĩ', 'ĭ', 'ŏ̃', 'u', 'uo', 'ũ', 'ŭ', 'ŭ̃', 'ɔ', 'ɔ̃', 'ɛ', 'ɛ̃', 'ɛ̆', 'ɛ̆̃']"
Thai,"['b', 'cç', 'cçʰ', 'd', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 's', 't', 'tʰ', 'w', 'ŋ', 'ɾ', 'ʔ', '˥', '˥̰', '˧', '˧˩', '˨˧', '˩', 'a', 'aː', 'eː', 'iː', 'o', 'oː', 'uː', 'æ', 'æː', 'ɔ', 'ɔː', 'ɘ', 'ɘː', 'ɛ', 'ɨ', 'ɨː', 'ɪ', 'ʊ', 'tɕ', 'tɕʰ', '˥˩', '˦', '˧˥', '˨', 'e', 'i', 'ia', 'u', 'ua', 'ɛː', 'ɤ', 'ɤː', 'ɯ', 'ɯa', 'ɯː']"
Yay,"['b', 'c', 'cʰ', 'd', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 'r', 's', 't', 'tʰ', 'v', 'ŋ', 'ɡ', 'ɲ', 'ʔ', 'θ', '˥', '˥˩', '˦', '˧', '˩', '˩˥', 'a', 'aː', 'i', 'u', 'ɔ', 'ə', 'ɛ', 'ɯ']"
Cham,"['b', 'c', 'cʰ', 'd', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 't', 'tʰ', 'w', 'ŋ', 'ɲ', 'ɾ', 'ʂ', 'ʃ', 'ʈ', 'ʈʰ', 'ʔ', '˧', '˩', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ə', 'ɛ', 'ɨ']"
Atayal,"['j', 'k', 'l', 'm', 'n', 'p', 'q', 's', 't', 'ts', 'w', 'x', 'ħ', 'ŋ', 'ɣ', 'ɾ', 'ʒ', 'ʔ', 'β', 'a', 'i', 'iː', 'u', 'uː', 'ɔ', 'ə̆', 'ɛ', 'r', 'ä', 'y']"
Malagasy,"['b', 'd', 'dz', 'f', 'h', 'j', 'k', 'l', 'm', 'mb', 'mp', 'n', 'nd', 'ndz', 'nt', 'nts', 'p', 's', 't', 'ts', 'v', 'w', 'z', 'ŋk', 'ŋɡ', 'ɖr̠', 'ɡ', 'ɳɖr̠', 'ɳʈr̠̥', 'ɾ', 'ʈr̠̥', 'a', 'e̞', 'i', 'ɔ', 'ʊ']"
Malay,"['b', 'c', 'd', 'f', 'h', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't', 'v', 'x', 'z', 'ŋ', 'ɟ', 'ɡ', 'ɲ', 'ʃ', 'a', 'e', 'i', 'u', 'ɔ', 'ə']"
Batak,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 's', 't', 'w', 'ŋ', 'ɡ', 'ʀ', 'a', 'i', 'o', 'u', 'ɛ']"
Sa'ban,"['b', 'b͈', 'd', 'd̠ʒ', 'd̠͈ʒ', 'd͈', 'h', 'j', 'k', 'k͈', 'l', 'l̥', 'l̩', 'm', 'm̥', 'm̩', 'n', 'n̥', 'n̩', 'p', 'p͈', 'r̩', 's', 'sː', 't', 't̠ʃ', 't͈', 'w', 'ŋ', 'ŋ̥', 'ŋ̩', 'ɡ', 'ɲ', 'ɲ̥', 'ɲ̩', 'ɾ', 'ʂ͇', 'ʔ', 'a', 'aː', 'i', 'u', 'ɔ', 'ə', 'ɛ', 'ɨ']"
Sundanese,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 's', 't̠ʃ', 't̪', 'w', 'ŋ', 'ɡ', 'ɲ', 'ɾ', 'ʔ', 'a', 'i', 'o', 'u', 'ə', 'ɛ', 'ɨ']"
Javanese,"['b̤̥', 'd̤̥', 'd̪̤̥', 'h', 'j', 'k', 'l', 'l̤', 'm', 'n', 'p', 'r', 's', 't', 'ts', 'tz̤̥', 't̪', 'w', 'ŋ', 'ɡ̤̥', 'ɲ', 'ʔ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ə', 'ɛ', 'b', 'd', 'd̠ʒ', 'f', 't̠ʃ', 'x', 'z', 'ɖ', 'ɡ', 'ʃ', 'ʈ', 'y']"
Tagalog,"['b', 'd', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'w', 'ŋ', 'ɡ', 'ɾ', 'ʔ', 'aː', 'e', 'eː', 'iː', 'o', 'oː', 'uː', 'ə', 'ɪ', 'ʊ', 'c', 'r', 'ɟ', 'a', 'i', 'u', 'd̠ʒ', 'd̪', 'kx', 'n̪', 'ts', 't̪', 'v', 'ɲ', 'ʃ', 'ä', 'ɛ']"
Chamorro,"['b', 'bː', 'd', 'dz', 'dː', 'f', 'h', 'j', 'k', 'kː', 'l', 'lː', 'm', 'mː', 'n', 'nː', 'pʰ', 'pː', 's', 'sː', 't', 'ts', 'tː', 'w', 'ŋ', 'ɡ', 'ɡː', 'ɲ', 'ɻ', 'ʔ', 'e', 'i', 'o', 'u', 'æ', 'ɒ']"
Iai,"['b', 'bʷ', 'd', 'd̠ʒ', 'f', 'h', 'k', 'l', 'l̥', 'm', 'mʷ', 'm̥', 'm̥ʷ', 'n', 'n̥', 'p', 's', 't', 't̠ʃ', 'w', 'x', 'ð', 'ŋ', 'ŋ̥', 'ɖ', 'ɡ', 'ɲ', 'ɲ̥', 'ɸ', 'ɹ', 'ʈ', 'ʍ', 'θ', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'y', 'æ', 'æː', 'ø', 'œ', 'ɔ', 'ɔː', 'ɛ', 'ɛː']"
Kaliai,"['h', 'k', 'l', 'm', 'mb', 'n', 'nd', 'p', 'r', 's', 't', 'ŋ', 'ŋɡ', 'ɡɣ', 'ɾ', 'ʍ', 'ʔ', 'β', 'a', 'aː', 'e̞', 'e̞ː', 'i', 'iː', 'o̞', 'o̞ː', 'u', 'uː']"
Adzera,"['b', 'd', 'dz', 'f', 'h', 'j', 'kʰ', 'm', 'n', 'pʰ', 'r', 's', 'tsʰ', 'tʰ', 'ŋ', 'ɡ', 'ɰ', 'ʔ', 'a', 'aː', 'i', 'iː', 'o', 'oː', 'ɯ']"
Maori,"['f', 'h', 'k', 'm', 'n', 'p', 't', 'w', 'ŋ', 'ɾ', 'i', 'iː', 'oː', 'o̞', 'u', 'uː', 'ɑ', 'ɑː', 'ɛ', 'ɛː']"
Hawaiian,"['h', 'k', 'l', 'm', 'n', 'p', 's', 'w', 'ʔ', 'a', 'aː', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ɛ']"
Western Desert,"['j', 'k', 'l', 'l̻', 'm', 'n', 'n̻', 'p', 't', 't̻', 'w', 'ŋ', 'ɭ', 'ɳ', 'ɻ', 'ɾ', 'ʈ', 'a', 'aː', 'i', 'iː', 'uː', 'ʊ']"
Nyangumata,"['j', 'k', 'l', 'l̻', 'm', 'n', 'n̻', 'p', 'r', 't', 't̻', 'w', 'xʷ', 'ŋ', 'ŋʷ', 'ɭ', 'ɳ', 'ɻ', 'ʈ', 'ʔ', 'a', 'aː', 'eː', 'iː', 'uː', 'ɪ', 'ʊ']"
Kunjen,"['c', 'cʰ', 'f', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'n̻', 'p', 'pʰ', 'r̥', 't', 'tʰ', 't̻', 't̻ʰ', 'w', 'ð', 'ŋ', 'ɣ', 'ɲ', 'ɻ', 'a', 'o̞', 'ɛ', 'ɪ', 'ʊ']"
Maranungku,"['j', 'k', 'kː', 'l', 'm', 'mː', 'n', 'nː', 'p', 'pː', 'r', 't', 'tː', 't̠ʃ', 't̠ʃː', 'w', 'ŋ', 'ɲ', 'ɹ', 'a', 'i', 'æ', 'ə', 'ʊ']"
Maung,"['j', 'k', 'l', 'm', 'n', 'n̻', 'p', 'r', 't', 't̻', 'w', 'ŋ', 'ɣ', 'ɭ', 'ɳ', 'ɻ', 'ɽ', 'ʈ', 'ʔ', 'a', 'i', 'u', 'ɔ', 'ɛ']"
